timestamp,latitude,longtitude,depth_km,MD,ML,Mw,place,location
2022.12.26 05:01:54,38.1955,31.0567,9.0,,2.0,,MADENLI-GELENDOST (ISPARTA),ISPARTA
2022.12.26 04:45:11,39.8880,40.6323,5.0,,3.0,,SARIBABA-ASKALE (ERZURUM),ERZURUM
2022.12.26 04:44:46,39.8547,42.2588,23.3,,2.2,,YAZILITAS-HORASAN (ERZURUM),ERZURUM
2022.12.26 04:25:34,38.3458,27.2243,5.4,,1.7,,GOKDERE-BORNOVA (IZMIR),IZMIR
2022.12.26 04:19:55,40.7315,30.9602,5.2,,1.2,,SACMALIPINAR-GOLYAKA (DUZCE),DUZCE
2022.12.26 04:00:09,38.7777,43.4157,5.0,,1.7,,PIRGARIP-(VAN),VAN
2022.12.26 03:44:55,38.8905,43.6010,5.0,,2.5,,SAGLAMTAS-(VAN),VAN
2022.12.26 03:19:40,37.3552,29.4998,7.8,,1.4,,KUMAFSARI-ACIPAYAM (DENIZLI),DENIZLI
2022.12.26 02:13:16,37.3318,29.5132,9.1,,1.3,,KUMAFSARI-ACIPAYAM (DENIZLI),DENIZLI
2022.12.26 01:36:55,36.3515,27.8453,53.6,,2.2,,AKDENIZ,AKDENIZ
2022.12.26 01:33:41,40.1785,31.7890,13.8,,1.6,,HIRKATEPE-BEYPAZARI (ANKARA),ANKARA
2022.12.26 01:32:56,40.8108,30.9540,5.0,,1.3,,YILDIZTEPE-GUMUSOVA (DUZCE),DUZCE
2022.12.26 01:11:57,40.7418,30.9860,8.0,,1.1,,BAKACAK-GOLYAKA (DUZCE),DUZCE
2022.12.26 01:07:46,40.1732,31.7523,5.0,,2.0,,HIRKATEPE-BEYPAZARI (ANKARA),ANKARA
2022.12.26 01:03:01,37.0872,28.4335,11.3,,0.8,,ULA (MUGLA),MUGLA
2022.12.26 01:01:08,37.2915,28.0682,11.2,,1.5,,YESILKOY-YATAGAN (MUGLA),MUGLA
2022.12.26 00:57:34,37.2983,28.0860,5.2,,1.4,,YESILKOY-YATAGAN (MUGLA),MUGLA
2022.12.26 00:43:36,40.8032,30.9583,4.9,,1.1,,YILDIZTEPE-GUMUSOVA (DUZCE),DUZCE
2022.12.26 00:27:16,40.7530,31.0130,6.5,,1.4,,HACIYAKUP-GOLYAKA (DUZCE),DUZCE
2022.12.26 00:26:45,37.4317,37.1512,7.0,,1.5,,ESKINARLI-PAZARCIK (KAHRAMANMARAS),KAHRAMANMARAS
2022.12.25 23:48:36,37.0842,28.4015,12.0,,1.1,,ULA (MUGLA),MUGLA
2022.12.25 23:17:31,35.3725,25.8847,19.9,,3.3,3.1,GIRIT ADASI (AKDENIZ),AKDENIZ
2022.12.25 23:14:05,37.0625,28.9312,8.2,,2.6,,OTMANLAR-KOYCEGIZ (MUGLA),MUGLA
2022.12.25 22:41:20,35.6405,27.5525,5.0,,2.7,,AKDENIZ,AKDENIZ
2022.12.25 22:06:03,37.0770,28.4290,13.6,,0.8,,YESILOVA-ULA (MUGLA),MUGLA
2022.12.25 21:33:01,40.6147,27.5537,16.9,,1.3,,MARMARA (BALIKESIR),BALIKESIR
2022.12.25 21:21:25,36.7707,29.2093,10.4,,0.8,,INCIRKOY-FETHIYE (MUGLA),MUGLA
2022.12.25 20:44:01,38.2273,38.7943,2.7,,1.8,,ORMANICI-PUTURGE (MALATYA),MALATYA
2022.12.25 20:31:37,39.2413,26.7552,6.2,,1.3,,ALTINOVA-AYVALIK (BALIKESIR),BALIKESIR
2022.12.25 20:24:30,37.0650,28.3790,14.6,,1.2,,GOKOVA-ULA (MUGLA),MUGLA
2022.12.25 19:54:40,37.0698,28.3640,4.3,,1.4,,KIZILAGAC-ULA (MUGLA),MUGLA
2022.12.25 19:13:35,37.0623,28.0782,4.3,,3.1,3.1,ZEYTIN-(MUGLA),MUGLA
2022.12.25 19:12:51,37.0662,28.1093,11.8,,2.0,,SARNICKOY-(MUGLA),MUGLA
2022.12.25 18:55:35,38.0312,26.1143,5.4,,1.9,,EGE DENIZI,EGE DENIZI
2022.12.25 18:28:44,40.7802,30.9762,5.1,,2.3,,YAZLIK-GOLYAKA (DUZCE),DUZCE
2022.12.25 18:15:44,37.8582,26.8673,5.3,,1.4,,KUSADASI KORFEZI (EGE DENIZI),EGE DENIZI
2022.12.25 17:58:03,39.3573,40.6262,2.8,,1.8,,ELMALI-YEDISU (BINGOL),BINGOL
2022.12.25 17:53:20,38.9477,28.1673,15.3,,1.3,,CITAK-AKHISAR (MANISA),MANISA
2022.12.25 17:50:39,37.8073,27.0082,5.5,,1.9,,KUSADASI KORFEZI (EGE DENIZI),EGE DENIZI
2022.12.25 17:44:18,39.4462,31.5580,0.0,,1.4,,SIVRIHISAR (ESKISEHIR),ESKISEHIR
2022.12.25 17:35:29,35.8352,26.7533,3.5,,2.2,,AKDENIZ,AKDENIZ
2022.12.25 17:29:43,40.8222,31.3442,6.0,,2.2,,SARICOKEK-KAYNASLI (DUZCE),DUZCE
2022.12.25 17:16:50,37.2852,29.1035,35.1,,1.3,,BALKICA-TAVAS (DENIZLI),DENIZLI
